strain	date	country	date_submitted	recency	lineage	region	host	clade_membership	author	accession	dinuc_context_fraction	GA_CT_fraction
hMPXV-IHU00007	2022-07-06	France	2022-09-07	Older	B.1	Europe	Homo sapiens	IIb	Colson,P.	OP382484		
MpxV/human/USA/WA-UW-097661/2022	2022-09-01	USA	2022-10-31	Older	B.1	North America	Homo sapiens	IIb	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	OP747053		
Slovenia-MPXV-23-2022	2022-07-01	Slovenia	2022-10-11	Older	B.1	Europe	Homo sapiens	IIb	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605565		
MPXV/Germany/2022/RKI262	2022-08-01	Germany	2022-08-17	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP215281	1.00	1.00
MPX/Human/USA/CA-LACPHL-MA00151/2022	2022-08-17	USA	2022-09-27	Older	B.1	North America	Homo sapiens	IIb	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP539937		0.50
MPXV/Human/USA/CA-CDPH-MPX000019/2022	2022-07-08	USA	2022-10-05	Older	B.1	North America	Homo sapiens	IIb	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.	OP587248		
Monkeypox/PT0437/2022	2022-08-02	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555521		
MPXV-CH-38156923/2022	2022-05-24	Switzerland	2022-05-27	Older	B.1	Europe	Homo sapiens	IIb	Laubscher,F., Schibler,M., Kaiser,L., Renzoni,A.	ON622720		
MPXV-CH-38134631/2022	2022-05-19	Switzerland	2022-05-24	Older	B.1	Europe	Homo sapiens	IIb	Laubscher,F., Chudzinski,V., Schibler,M., Kaiser,L., Renzoni,A.	ON595760		
MPXV_USA_2022_IL003	2022-06-01	USA	2022-07-11	Older	B.1	North America	Homo sapiens	IIb	Gigante,C.M., Ghinai,I., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Kerins,J., Li,Y.	ON959132		
Monkeypox virus/Human/USA/CA-LACPHL-MA00234/2022	2022-07-12	USA	2022-10-19	Older	B.1	North America	Homo sapiens	IIb	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP680512	1.00	1.00
Monkeypox/PT0370/2022	2022-07-03	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555466	1.00	1.00
Monkeypox/PT0234/2022	2022-06-20	Portugal	2022-08-29	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324542		
MPXV/Germany/2022/ON/RKI608	2022-09-30	Germany	2022-11-21	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP863258	0.80	0.83
MPXV_UK_2022_6	2022-05-01	United Kingdom	2022-07-20	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP022171		
MPX_k9tr7U_9000256	2022-08-01	United Kingdom	2022-09-12	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP415226		
MPXV/Germany/2022/RKI545	2022-06-01	Germany	2022-10-25	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP715825	0.50	1.00
MPXV/Human/USA/CA-LACPHL-MA00359/2022	2022-11-05	USA	2022-11-30	Older	B.1	North America	Homo sapiens	IIb	Hemarajata,P., Green,N.M., Garrigues,J.	OP920697		
ANT-LDSP-ANT-MPX-28603C	2022-10-18	Colombia	2023-01-22	3-7 days ago	B.1	South America	Homo sapiens	IIb	Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.	OQ261708		
MPX/Human/USA/CA-LACPHL-MA00185/2022	2022-09-26	USA	2022-10-12	Older	B.1	North America	Homo sapiens	IIb	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP615258	0.60	1.00
MPXV_USA_2022_NY003	2022-05-01	USA	2022-07-11	Older	B.1	North America	Homo sapiens	IIb	Gigante,C.M., Hughes,S., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y.	ON959134	1.00	1.00
MPXV_USA_2022_UT001	2022-05-01	USA	2022-06-03	Older	B.1	North America	Homo sapiens	IIb	Gigante,C.M., Atkinson,A., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Murray,J., Li,Y.	ON676705	1.00	1.00
hMPXV-IHU00017	2022-07-22	France	2022-09-07	Older	B.1	Europe	Homo sapiens	IIb	Colson,P.	OP382494		
MPXV/Germany/2022/RKI091	2022-06-01	Germany	2022-06-27	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON853671	1.00	1.00
MPXV_UK_2022_9000185	2022-06-29	United Kingdom	2022-08-11	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205130	0.67	1.00
Monkeypox/PT0019/2022	2022-05-21	Portugal	2022-06-01	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON649717	1.00	1.00
MPXV/Germany/2022/RKI028	2022-06-01	Germany	2022-06-14	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON755234	1.00	1.00
MPX_IMt4nT_9000212	2022-07-01	United Kingdom	2022-09-12	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP415191		
MpxV/human/CAN/UN-NML-2886/2022	2022-05-20	Canada	2022-06-21	Older	B.1	North America	Homo sapiens	IIb	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	ON803434		
Monkeypox/PT0002/2022	2022-05-15	Portugal	2022-05-24	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON585030		
MPXV_USA_2022_UT002	2022-05-01	USA	2022-06-03	Older	B.1	North America	Homo sapiens	IIb	Gigante,C.M., Atkinson,A., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Murray,J., Li,Y.	ON676706		
hMPXV-IHU00001	2022-06-13	France	2022-09-07	Older	B.1	Europe	Homo sapiens	IIb	Colson,P.	OP382478	1.00	1.00
MPXV/Germany/2022/RKI071	2022-06-01	Germany	2022-06-27	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON853657		
Monkeypox/PT0015/2022	2022-05-20	Portugal	2022-06-01	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON649714	1.00	1.00
MPXV/Germany/2022/RKI150	2022-07-01	Germany	2022-07-11	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON959164	1.00	1.00
Monkeypox/PT0262/2022	2022-06-17	Portugal	2022-09-12	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414302		
Monkeypox/PT0177/2022	2022-06-30	Portugal	2022-08-29	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324492		
MPXV_USA_2022_FL002	2022-05-16	USA	2022-06-03	Older	B.1	North America	Homo sapiens	IIb	Gigante,C.M., Lee,P., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Mendoza,R., Li,Y.	ON676704	1.00	1.00
Monkeypox/PT0151/2022	2022-07-06	Portugal	2022-08-29	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324468		
MpxV/human/CAN/UN-NML-2885/2022	2022-05-20	Canada	2022-06-21	Older	B.1	North America	Homo sapiens	IIb	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	ON803433		
MPXV/Germany/2022/ON/RKI301	2022-09-02	Germany	2022-09-22	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP494257	1.00	1.00
CVR_MPXV1d	2022-05-15	United Kingdom	2022-06-21	Older	B.1	Europe	Homo sapiens	IIb	Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C.	ON808416	1.00	1.00
Monkeypox/PT0348/2022	2022-05-25	Portugal	2022-09-12	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414377		
Monkeypox/PT0017/2022	2022-05-20	Portugal	2022-06-01	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON649715		1.00
MPXV_2022_NL001	2022-05-16	Netherlands	2022-05-26	Older	B.1	Europe	Homo sapiens	IIb	Oude Munnink,B.B., Boter,M., Wellers,B., Molenkamp,R., Sikkema,R.S., Koopmans,M.	ON615424	1.00	1.00
Monkeypox/PT0025/2022	2022-05-19	Portugal	2022-06-01	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON649712		
MpxV/human/CAN/UN-NML-3864/2022	2022-06-22	Canada	2022-07-26	Older	B.1	North America	Homo sapiens	IIb	Duggan,A., Hole,D., Yadav,C., Knox,N., Tyler,A., Haidl,E., Chapel,M., Domselaar,G.V., Graham,M., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Antonation,K., Jolly,G., Griffiths,E., Charest,H., Levade,I., Fafard,J.	OP062230	1.00	1.00
Monkeypox/PT0004/2022	2022-05-17	Portugal	2022-05-24	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON585032		
MPXV/Germany/2022/RKI07	2022-05-01	Germany	2022-06-06	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON682269		
Monkeypox/PT0003/2022	2022-05-15	Portugal	2022-05-24	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON585031		
MPXV_UK_2022_4	2022-05-16	United Kingdom	2022-05-27	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M.	ON619838	1.00	1.00
Slovenia-MPXV-33-2022	2022-07-01	Slovenia	2022-10-11	Older	B.1	Europe	Homo sapiens	IIb	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605575		
B1118394	2022-09-04	USA	2022-11-01	Older	B.1	North America	Homo sapiens	IIb	Bajwa,M.I., Miller,H.	OP751215	1.00	1.00
Monkeypox/PT0184/2022	2022-06-28	Portugal	2022-08-29	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324499	1.00	1.00
MPXV/Germany/2022/RKI216	2022-08-01	Germany	2022-08-17	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP215249		
CVR_MPXV1c	2022-05-15	United Kingdom	2022-06-21	Older	B.1	Europe	Homo sapiens	IIb	Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C.	ON808415		
Monkeypox/PT0029/2022	2022-05-27	Portugal	2022-06-24	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON843173	1.00	1.00
MPXV/Germany/2022/RKI519	2022-06-01	Germany	2022-10-20	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP689672		
MPXV/Germany/2022/RKI272	2022-08-01	Germany	2022-08-19	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP263626	1.00	1.00
Monkeypox virus/Human/USA/CA-LACPHL-MA00228/2022	2022-10-04	USA	2022-10-19	Older	B.1	North America	Homo sapiens	IIb	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP680506	1.00	1.00
MPXV/Germany/2022/RKI131	2022-07-01	Germany	2022-07-06	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON929086	1.00	1.00
Monkeypox/PT0449/2022	2022-08-03	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555530		
Monkeypox/PT0154/2022	2022-07-06	Portugal	2022-08-29	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324471		
Monkeypox/PT0291/2022	2022-06-10	Portugal	2022-09-12	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414326		
MPXV_UK_2022_9000140	2022-07-06	United Kingdom	2022-08-11	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205104	1.00	0.67
MPXV_USA_2022_CA002	2022-05-16	USA	2022-07-09	Older	B.1	North America	Homo sapiens	IIb	Gigante,C.M., Ventura,J., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.	ON954773	0.50	1.00
MpxV/human/CAN/UN-NML-3357/2022	2022-06-02	Canada	2022-06-30	Older	B.1	North America	Homo sapiens	IIb	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	ON880543	1.00	1.00
MPXV/Germany/2022/RKI05	2022-05-01	Germany	2022-06-06	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	ON682264		
MPXV_USA_2022_WA0014	2022-07-01	USA	2022-11-01	Older	B.1	North America	Homo sapiens	IIb	Gigante,C.M., Goldoft,M., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Morrison,S.S., Desch,M., Knipe,K., Weigand,M.R., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Holshue,M., Li,Y.	OP752125	1.00	1.00
MPXV_UK_2022_9000062	2022-06-05	United Kingdom	2022-08-11	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205068	1.00	1.00
MPX_hSAaEl_9000356	2022-08-01	United Kingdom	2022-09-12	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP415281		
MPXV-USA-IL-IDPH-022	2022-06-01	USA	2022-09-27	Older	B.1	North America	Homo sapiens	IIb	Gagnon,K.T.	OP536683	1.00	1.00
hMPX/Human/USA/CA-LACPHL-MA00002/2022	2022-07-18	USA	2022-09-15	Older	B.1	North America	Homo sapiens	IIb	Hemarajata,P., Green,N.M.	OP440566	1.00	1.00
MPX/PT0051/2022	2022-07-31	Portugal	2022-08-17	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP245308		
MPXV/Germany/2022/RKI06	2022-05-01	Germany	2022-06-06	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON682270		
Monkeypox/PT0023/2022	2022-05-19	Portugal	2022-06-01	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON649708		
MPXV_UK_2022_9000068	2022-06-07	United Kingdom	2022-08-11	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205074		
hMPXV/Austria/MUW1525179/2022	2022-06-10	Austria	2022-07-19	Older	B.1	Europe	Homo sapiens	IIb	Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.	OP019275	1.00	0.67
MPX/PT0057/2022	2022-07-28	Portugal	2022-08-17	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP245313		
Monkeypox/PT0257/2022	2022-06-18	Portugal	2022-09-12	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414298	1.00	1.00
Monkeypox/PT0480/2022	2022-08-09	Portugal	2022-09-30	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555559	1.00	1.00
Monkeypox/PT0201/2022	2022-06-27	Portugal	2022-08-29	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324512	1.00	1.00
MPXV/Germany/2022/RKI03	2022-05-01	Germany	2022-06-06	Older	B.1	Europe	Homo sapiens	IIb	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Michel,A.	ON682263		
Monkeypox/PT0293/2022	2022-06-14	Portugal	2022-09-12	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414328		
MPXV_FVG-ITA_01_2022	2022-05-25	Italy	2022-06-01	Older	B.1	Europe	Homo sapiens	IIb	Licastro,D., DeGasperi,M., Negri,C., Piscianz,E., Koncan,R., Dal Monego,S., Segat,L., D'Agaro,P.	ON644344		
MPXV_UK_2022_9000069	2022-06-11	United Kingdom	2022-08-11	Older	B.1	Europe	Homo sapiens	IIb	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205075		
MpxV/human/CAN/UN-NML-3348/2022	2022-05-31	Canada	2022-06-30	Older	B.1	North America	Homo sapiens	IIb	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	ON880542		
Monkeypox/PT0349/2022	2022-05-26	Portugal	2022-09-12	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414378		
MpxV/human/CAN/UN-NML-3344/2022	2022-06-01	Canada	2022-06-30	Older	B.1	North America	Homo sapiens	IIb	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	ON880541	1.00	1.00
MpxV/human/CAN/UN-NML-2954/2022	2022-05-22	Canada	2022-06-21	Older	B.1	North America	Homo sapiens	IIb	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	ON803440		
Monkeypox/PT0028/2022	2022-05-18	Portugal	2022-06-01	Older	B.1	Europe	Homo sapiens	IIb	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON649709		
